Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
1,1,1,43.6485726,-79.3762754,2450,"88 Scott St, Toronto, O",M5E
1,1,1,43.6410868,-79.3814048,2450,"10 York St, Toronto, O",M5J
1,1,0,43.6385213,-79.3994638,2450,"70 Queens Wharf Rd, Toronto, O",M5V
1,1,1,43.6394055,-79.3932324,2424,"11 Brunel Ct, Toronto, O",M5V
1,1,1,43.6394055,-79.3932324,2424,"11 Brunel Ct, Toronto, O",M5V
1,1,1,43.6394055,-79.3932324,2424,"11 Brunel Ct, Toronto, O",M5V
1,1,0,43.6676701,-79.389445,2410,"57 Charles Street West, Toronto, O",M4Y
1,1,1,43.6400685,-79.3999604,2400,"70 Queens Wharf Rd 33rd Floor, Toronto, O",M5V
1,1,1,43.6418726,-79.3819064,2400,"12 York St, Toronto, O",M5J
1,1,1,43.6473801,-79.3872741,2400,"224 King St W, Toronto, O",M5H
1,1,1,43.6418726,-79.3819064,2400,"12 York St, Toronto, O",M5J
1,1,1,43.6400685,-79.3999604,2400,"70 Queens Wharf Rd, Toronto, O",M5V
1,1,1,43.6473801,-79.3872741,2400,"224 King St W, Toronto, O",M5H
1,1,1,43.6418726,-79.3819064,2400,"12 York St, Toronto, O",M5J
1,1,1,43.6400685,-79.3999604,2400,"70 Queens Wharf Rd, Toronto, O",M5V
1,1,1,43.6473801,-79.3872741,2400,"224 King St W, Toronto, O",M5H
1,1,1,43.6400685,-79.3999604,2400,"70 Queens Wharf Rd 33rd Floor, Toronto, O",M5V
1,1,1,43.6418726,-79.3819064,2400,"12 York St, Toronto, O",M5J
1,1,1,43.6400685,-79.3999604,2400,"70 Queens Wharf Rd, Toronto, O",M5V
1,1,1,43.6473801,-79.3872741,2400,"224 King St W, Toronto, O",M5H
1,1,1,43.6418891,-79.3837936,2400,"Lower Simcoe St, Toronto, O",M5J
1,1,0,43.648742,-79.3868108,2400,"Toronto, O",M5H
1,1,0,43.6660964,-79.3873217,2400,"44 St Joseph Street, Toronto, O",M4Y
1,1,0,43.6660964,-79.3873217,2400,"44 St Joseph Street, Toronto, O",M4Y
1,1,0,43.6693009,-79.3841709,2400,"42 Charles St E, Toronto, O",M4Y
